,A,,B,,C,,D
322.11609,134.0192188,322.11609,165.3849636,322.11609,377.68672,322.11609,395.243101
322.4861898,130.9199587,322.4861898,162.525445,322.4861898,386.25496,322.4861898,397.149917
322.8562587,124.2383413,322.8562587,165.8593464,322.8562587,383.86663,322.8562587,385.0085169
323.2262967,119.9415855,323.2262967,161.8017286,323.2262967,389.56549,323.2262967,387.1391395
323.5963038,118.271893,323.5963038,163.7090918,323.5963038,395.27431,323.5963038,397.1296058
323.9662799,126.6241541,323.9662799,164.9064814,323.9662799,400.51979,323.9662799,399.9965019
324.336225,125.4334324,324.336225,165.6242075,324.336225,401.00136,324.336225,400.4780664
324.7061392,123.5279904,324.7061392,160.6207462,324.7061392,398.15575,324.7061392,410.7144906
325.0760223,126.3906592,325.0760223,156.0906297,325.0760223,403.38973,325.0760223,399.0606226
325.4458744,145.9645392,325.4458744,171.3700029,325.4458744,415.0906,325.4458744,410.2857922
325.8156955,149.2991094,325.8156955,159.2039003,325.8156955,410.0835,325.8156955,410.9873691
326.1854855,146.6822398,326.1854855,163.7419606,326.1854855,420.5673,326.1854855,416.000539
326.5552444,142.1448439,326.5552444,153.4813108,326.5552444,410.32336,326.5552444,412.1786675
326.9249722,138.7980746,326.9249722,148.7034492,326.9249722,406.4957,326.9249722,415.9620249
327.2946689,135.938344,327.2946689,151.3293221,327.2946689,399.84226,327.2946689,415.4934343
327.6643345,134.506238,327.6643345,155.3822014,327.6643345,387.9448,327.6643345,412.3984371
328.033969,133.0810772,328.033969,161.1124086,328.033969,401.99785,328.033969,416.460012
328.4035722,136.9022679,328.4035722,165.6488428,328.4035722,410.81311,328.4035722,420.7555263
328.7731443,145.9714322,328.7731443,173.7625942,328.7731443,415.10984,328.7731443,421.008765
329.1426852,145.7303792,329.1426852,174.7133492,329.1426852,412.24835,329.1426852,426.2341242
329.5121949,134.7578189,329.5121949,169.7055175,329.5121949,410.82012,329.5121949,429.5627366
329.8816734,132.134177,329.8816734,179.2436417,329.8816734,411.29687,329.8816734,434.3202477
330.2511206,133.0863723,330.2511206,171.6109996,330.2511206,408.43638,330.2511206,427.6548829
330.6205365,133.0876965,330.6205365,175.4278024,330.6205365,420.80925,330.6205365,429.5616902
330.9899211,150.2739781,330.9899211,181.4038957,330.9899211,423.93638,330.9899211,435.3054535
331.3592745,155.762512,331.3592745,184.506828,331.3592745,423.23002,331.3592745,439.3560357
331.7285965,155.0489037,331.7285965,182.3631007,331.7285965,434.89008,331.7285965,434.6046683
332.0978872,163.6391711,332.0978872,181.8907185,332.0978872,432.99789,332.0978872,436.9937163
332.4671465,164.8316679,332.4671465,180.4599719,332.4671465,429.43006,332.4671465,443.6530658
332.8363745,163.8683014,332.8363745,173.0575565,332.8363745,428.21673,332.8363745,441.2500363
333.2055711,164.3420071,333.2055711,174.2464091,333.2055711,426.78129,333.2055711,443.8573582
333.5747362,164.8071001,333.5747362,165.1727423,333.5747362,429.12942,333.5747362,439.5456793
333.94387,158.1201024,333.94387,153.7163579,333.94387,419.11468,333.94387,426.4397632
334.3129723,155.2488595,334.3129723,154.1837461,334.3129723,412.90561,334.3129723,431.8831835
334.6820431,147.8556807,334.6820431,156.8059882,334.6820431,410.28738,334.6820431,428.0763611
335.0510825,139.2674771,335.0510825,155.8490855,335.0510825,411.46857,335.0510825,424.2632403
335.4200904,136.8852629,335.4200904,153.4676039,335.4200904,411.23874,335.4200904,432.8322418
335.7890667,128.5274839,335.7890667,150.1175702,335.7890667,400.02946,335.7890667,432.0863271
336.1580116,120.4066856,336.1580116,136.9890265,336.1580116,383.58109,336.1580116,417.5425996
336.5269249,114.4343367,336.5269249,126.0086306,336.5269249,380.21946,336.5269249,415.1304607
336.8958066,124.2207765,336.8958066,125.5404007,336.8958066,387.61907,336.8958066,419.6765356
337.2646568,119.2073785,337.2646568,115.041659,337.2646568,385.70028,337.2646568,415.617094
337.6334754,117.3006002,337.6334754,117.9047915,337.6334754,372.62142,337.6334754,409.2008781
338.0022623,113.0103558,338.0022623,117.6692119,338.0022623,377.62599,338.0022623,409.924212
338.3710176,112.3017774,338.3710176,123.8777496,338.3710176,381.69301,338.3710176,405.6683922
338.7397413,116.8346141,338.7397413,131.7489656,338.7397413,378.12752,338.7397413,410.6655386
339.1084333,116.3515099,339.1084333,127.9264861,339.1084333,364.78615,339.1084333,408.26655
339.4770937,115.1563845,339.4770937,127.4466808,339.4770937,360.97161,339.4770937,404.2149219
