,A,,B,,C,,D
346.4755975,311.5706367,346.4755975,1010.77138,346.4755975,295.4401369,346.4755975,1034.515694
346.8436206,305.1177206,346.8436206,989.17363,346.8436206,286.6057047,346.8436206,1024.509057
347.2116116,301.5450334,347.2116116,979.47217,347.2116116,286.6049995,347.2116116,1017.885118
347.5795706,306.0687136,347.5795706,975.92119,347.5795706,286.8424628,347.5795706,1015.281309
347.9474975,299.6325822,347.9474975,969.98596,347.9474975,281.596384,347.9474975,1001.77906
348.3153923,295.1057885,348.3153923,950.1038,348.3153923,281.356131,348.3153923,1002.481573
348.6832549,296.7720354,348.6832549,941.58246,348.6832549,281.3554388,348.6832549,987.3410561
349.0510855,280.0776283,349.0510855,926.36158,349.0510855,268.9471057,349.0510855,976.3813056
349.4188839,270.0565793,349.4188839,905.2386,349.4188839,267.976573,349.4188839,961.1797301
349.7866501,273.8496802,349.7866501,894.53185,349.7866501,263.4343858,349.7866501,948.1094376
350.1543842,281.0005785,350.1543842,892.89589,350.1543842,254.3898731,350.1543842,936.7744529
350.5220861,267.6466235,350.5220861,875.08488,350.5220861,244.8453662,350.5220861,917.3115669
350.8897557,263.84656,350.8897557,877.2486,350.8897557,251.2864967,350.8897557,915.6894202
351.2573931,260.2669797,351.2573931,880.5402,351.2573931,242.228085,351.2573931,903.5956081
351.6249983,250.0307611,351.6249983,884.34662,351.6249983,247.2358679,351.6249983,908.8217295
351.9925711,259.5792663,351.9925711,886.54607,351.9925711,250.1145814,351.9925711,903.2114743
352.3601117,256.7126924,352.3601117,884.38827,352.3601117,237.9571676,352.3601117,892.5318469
352.72762,255.7529986,352.72762,871.81766,352.72762,239.8565631,352.72762,906.7108102
353.095096,248.8471081,353.095096,865.90455,353.095096,236.7613048,353.095096,905.5337651
353.4625397,264.1301855,353.4625397,887.10113,353.4625397,246.3267061,353.4625397,917.9704823
353.8299509,261.2884167,353.8299509,898.99372,353.8299509,258.4931788,353.8299509,924.8910073
354.1973299,267.966473,354.1973299,899.72945,354.1973299,269.9357213,354.1973299,940.5381277
354.5646764,273.4379239,354.5646764,900.41634,354.5646764,273.2632449,354.5646764,946.6667165
354.9319905,275.1181729,354.9319905,911.58372,354.9319905,274.4670765,354.9319905,950.7320963
355.2992722,275.5952613,355.2992722,907.79808,355.2992722,280.6609502,355.2992722,957.5968574
355.6665214,279.391327,355.6665214,902.54278,355.6665214,267.0685671,355.6665214,949.5019497
356.0337382,279.874581,356.0337382,906.58869,356.0337382,272.5540166,356.0337382,962.7754549
356.4009226,287.7429508,356.4009226,905.19389,356.4009226,278.2789972,356.4009226,964.695558
356.7680744,283.7092622,356.7680744,920.62912,356.7680744,284.2491757,356.7680744,962.852444
357.1351937,293.2497153,357.1351937,926.3497,357.1351937,292.3604869,357.1351937,971.8852049
357.5022805,288.2420178,357.5022805,916.8631,357.5022805,285.2089857,357.5022805,982.5141296
357.8693347,288.4773667,357.8693347,912.82985,357.8693347,279.0128418,357.8693347,982.7414818
358.2363564,280.8363162,358.2363564,900.93448,358.2363564,276.8504799,358.2363564,975.3450208
358.6033455,270.1104107,358.6033455,906.83185,358.6033455,275.176271,358.6033455,974.1391644
358.970302,276.063509,358.970302,909.66624,358.970302,284.4635516,358.970302,972.0029829
359.3372259,283.4445368,359.3372259,907.29034,359.3372259,273.5041377,359.3372259,973.1767987
359.7041172,286.7966005,359.7041172,912.55218,359.7041172,285.4310096,359.7041172,978.6756606
360.0709758,282.0092211,360.0709758,910.82197,360.0709758,269.6868777,360.0709758,967.7146671
360.4378017,276.2819824,360.4378017,918.12547,360.4378017,270.6290305,360.4378017,967.9148969
360.804595,287.7181743,360.804595,921.45219,360.804595,267.7746287,360.804595,977.6282842
361.1713556,282.9514751,361.1713556,924.0449,361.1713556,260.386841,361.1713556,971.9390797
361.5380834,285.5614151,361.5380834,921.17429,361.5380834,258.9485922,361.5380834,954.3994527
361.9047785,281.7377944,361.9047785,909.77219,361.9047785,260.842086,361.9047785,934.717291
362.2714409,279.3652132,362.2714409,915.71751,362.2714409,260.8504307,362.2714409,933.7992509
362.6380705,280.5580798,362.6380705,916.43405,362.6380705,262.9962001,362.6380705,934.9890998
363.0046673,276.4882143,363.0046673,910.21346,363.0046673,247.969388,363.0046673,930.1881826
363.3712313,276.2541341,363.3712313,913.77664,363.3712313,251.5463468,363.3712313,921.4449488
363.7377625,271.226754,363.7377625,896.65167,363.7377625,238.8971822,363.7377625,902.663728
364.1042608,265.2644715,364.1042608,889.99658,364.1042608,244.8447644,364.1042608,898.3757828
